gene;log2FC;pvalue;ATAC score (pi-value)
LRRC14B;-0.464042811;0.053113004;-0.591561373961361
LRRC15;-0.488870578;0.123622808;-0.443846280208259
LRRC16A;0.363404119;0.006868477;0.786093823061944
LRRC16B;-0.404035819;0.07964293;-0.443975879292385
LRRC18;-0.07978269;0.800746815;-0.00769941095288257
LRRC2;0.225657825;0.1327323;0.197907188413558
LRRC2-AS1;-0.189437606;0.045349303;-0.254496046236291
LRRC20;-0.435895022;0.012542119;-0.828910650944884
LRRC23;-0.079253871;0.051401769;-0.102159978107829
LRRC24;-0.108027936;0.378411324;-0.045591664576976
LRRC25;0.483294222;0.005143057;1.10615350297905
LRRC26;-0.413397411;0.110496097;-0.39547789908956
LRRC27;-1.567892725;0.00392714;-3.77223013464585
LRRC28;-0.658862818;0.002710116;-1.6913088390893
LRRC29;0.35767532;0.066209069;0.421728717259443
LRRC3;0.75663775;0.073042639;0.859860953615479
LRRC3-AS1;0.75663775;0.073042639;0.859860953615479
LRRC30;-0.509969441;0.093976463;-0.523728877827981
LRRC31;0.359060811;0.006118248;0.794735476811444
LRRC32;0.251566435;0.051883559;0.323255382544174
LRRC34;0.359060811;0.006118248;0.794735476811444
LRRC36;0.444747497;0.002087748;1.1920664667128
LRRC37A;0.545144689;0.14065302;0.464382014965513
LRRC37A11P;0.235237413;0.375396916;0.10009570683628
LRRC37A3;-0.573494461;0.008938452;-1.17493971593764
LRRC37A6P;0.286858081;0.0817445;0.311970055718555
LRRC37A8P;0.359818011;0.002463884;0.938542010940454
LRRC37B;0.069425941;0.264207195;0.0401320372953814
LRRC37BP1;0.407047513;0.061366079;0.493370740606283
LRRC39;0.119667494;0.631118793;0.0239202022485629
LRRC3B;-0.226218992;0.547754553;-0.059136812444648
LRRC3C;-0.750909369;0.000592439;-2.42345212767117
LRRC4;-0.414371698;0.049623506;-0.540470208223269
LRRC40;0.34166532;0.02635478;0.539537580051797
LRRC41;0.3658584;0.032406888;0.544895844130416
LRRC42;-0.377810893;0.075163835;-0.424656069686625
LRRC43;-0.384132723;0.046549305;-0.511698129305753
LRRC45;0.596075729;0.001972896;1.61232274045043
LRRC46;-0.542898187;0.061176061;-0.658762698170747
LRRC47;0.257965651;0.018416024;0.447519876168838
LRRC48;0.374890725;0.047382827;0.496497415310069
LRRC49;-0.511707498;0.007364678;-1.09139341141117
LRRC4B;0.297019206;0.27959679;0.164390572132227
LRRC4C;0.210302521;0.063940116;0.251148860454464
LRRC56;-0.79973634;0.005387513;-1.81429119295371
LRRC57;0.284905484;0.006947782;0.614869857731645
LRRC58;-0.565869624;0.037587141;-0.806341979416102
LRRC59;0.830072896;0.000144613;3.18730781692909
LRRC6;-0.134128191;0.34116666;-0.0626423472524749
LRRC61;-0.28342835;0.020285186;-0.479793464515117
LRRC63;0.3658584;0.032406888;0.544895844130416
LRRC66;-0.262039635;0.261575568;-0.152612623150349
LRRC7;0.232739685;0.202926965;0.161209526056236
LRRC70;-0.559443765;0.022189918;-0.925232883395329
LRRC71;0.268074807;0.10658343;0.260651898075976
LRRC72;0.281115812;0.030828297;0.424780178629858
LRRC73;0.157236354;0.03918942;0.22120500292012
LRRC74A;-0.503460016;0.069431568;-0.583229744803866
LRRC74B;-0.400387545;0.122506698;-0.365089445413021
LRRC75A;-0.314593214;0.027939821;-0.488807505402533
LRRC75A-AS1;-0.859037574;0.013073095;-1.61810171487692
LRRC75B;-0.519556225;0.015129242;-0.945687320121649
LRRC77P;-0.361474195;0.543493921;-0.095720285956967
LRRC8A;0.166578409;0.030159584;0.253294906481173
LRRC8B;0.550667871;0.00386683;1.32856604195106
LRRC8C;0.550667871;0.00386683;1.32856604195106
LRRC8C-DT;0.551419624;0.086830407;0.585237176750176
LRRC8D;0.550667871;0.00386683;1.32856604195106
LRRC8E;0.341463519;0.04116861;0.473075099356153
LRRC9;-0.394504161;0.014386352;-0.726696120618268
LRRCC1;-0.45058917;0.129615977;-0.39982645297572
LRRD1;0.117850821;0.436487916;0.0424295688745207
LRRFIP1;-0.415129432;0.127351991;-0.371538459195198
LRRFIP2;-0.520855608;0.006589539;-1.13606158808533
LRRIQ1;0.343217762;0.052497702;0.439270584207547
LRRIQ3;0.328152912;0.023932292;0.531941024627634
LRRIQ4;-0.121565474;0.842053573;-0.00907611196322118
LRRK1;-0.321291323;0.03450389;-0.469770305213861
LRRK2;0.298228361;0.003104554;0.747956962518995
LRRN1;0.389935885;0.029285982;0.597904371359424
LRRN3;0.733726506;0.018829397;1.26579825153848
LRRTM3;0.025690078;0.411775515;0.00989940132268335
LRRTM4;0.005239801;0.093039459;0.00540397876033008
LRSAM1;-0.378462762;0.009443818;-0.766331228607512
LRTM1;-0.401118185;0.155131235;-0.32462524798941
LRTM2;-0.287529426;0.341768683;-0.134065694244312
LRTOMT;0.26894449;0.014008535;0.498517464705239
LRWD1;-0.320606128;0.022966675;-0.525441984389626
LSAMP;0.047028487;0.549409978;0.0122322720692711
LSG1;0.193103463;0.074376192;0.21793001458965
LSINCT5;-0.573855086;0.080724255;-0.627221287394804
1 LSM;-0.750909369;0.000592439;-2.42345212767117
10 LSM;-0.223263262;0.041720111;-0.308026174097484
11 LSM;0.163646546;0.018470371;0.283685277379714
12 LSM;-0.235510347;0.028432728;-0.364141734428511
LSM14A;0.144879252;0.026583623;0.228240720763786
LSM14B;-0.544954608;0.037310757;-0.77828560968929
2 LSM;-0.19050414;0.029933219;-0.290299081621677
3 LSM;0.452202949;0.039628492;0.633985122059477
4 LSM;0.392288134;0.017518592;0.689054421897981
5 LSM;0.337102799;0.017172479;0.595042738439965
6 LSM;0.041097348;0.094170449;0.0421693870716352
7 LSM;-0.394628842;0.003238452;-0.982492643406528
8 LSM;0.347610458;0.0394545;0.488011523322822
LSMEM1;-0.363310365;0.067141606;-0.426166064471347
LSMEM2;-0.478674178;0.011039339;-0.936792617257676
LSP1;-0.394628842;0.003238452;-0.982492643406528
LSP1P3;-0.498110495;0.003846747;-1.2028902104475
LSR;0.365027695;0.006456945;0.799400764501563
LSS;-0.399435038;0.086740147;-0.424112073206702
LST1;-0.304812183;0.022876217;-0.500079681164132
LTA;0.483643276;0.010109146;0.965006430850425
LTA4H;0.186961984;0.05926822;0.229435655235147
LTB;-0.360300069;0.007705567;-0.761384448072955
LTB4R;0.201925064;0.087385702;0.213749719132362
LTB4R2;0.201925064;0.087385702;0.213749719132362
LTBP1;0.191856941;0.003558183;0.469813851327703
LTBP2;0.148037138;0.04122877;0.205001772677079
LTBP3;-0.445908295;0.064343129;-0.531298762849491
LTBP4;0.212737327;0.021685579;0.353958529321691
LTBR;-0.285263742;0.00820496;-0.595038352217031
LTC4S;0.393893243;0.002097362;1.05497475218055
LTF;0.114965319;0.207501381;0.0785188995880928
LTK;-0.3782239;0.02986298;-0.576741089480798
LTN1;-0.456633834;0.073402665;-0.517954356863464
LTV1;0.23277828;0.023614149;0.378690154045451
LUADT1;0.044593429;0.846794361;0.00322062853385247
LUARIS;-0.281400196;0.419293279;-0.106223536645152
LUC7L;-0.561074638;0.005117945;-1.28536834882616
LUC7L2;-0.462043118;0.024290365;-0.74599909000772
LUC7L3;0.312156322;0.021355722;0.521452684940221
LUCAT1;0.703006372;0.019615384;1.20031531897806
LUNAR1;0.000986981;0.813286019;8.8588151092859E-05
LURAP1;0.444723009;0.065789519;0.525592903562853
LURAP1L;0.242536106;0.041450441;0.335299095292868
LUZP1;0.268175795;0.002520347;0.69686543960861
LUZP2;0.5622758;0.11421769;0.529813721783913
